,processed_date,standard_pair,trx_fx,s_amount_usd,weighted_rate
0,2026-01-01,USDUGX,2503192968634107.0,652385549801.7886,3836.984080034638
1,2026-01-02,USDUGX,3217146611931496.5,838769273264.7483,3835.5561111691313
2,2026-01-03,USDUGX,4648128321763144.0,1214903094325.973,3825.9251651193804
3,2026-01-04,USDUGX,3837099771974924.0,1003501788066.665,3823.709950101271
4,2026-01-05,USDUGX,5875778296936655.0,1535310521560.118,3827.094398445167
5,2026-01-06,USDUGX,4773122177747496.0,1248248823338.6482,3823.8547383373375
6,2026-01-07,USDUGX,4505532468353496.0,1171939740825.6365,3844.5086478416797
7,2026-01-08,USDUGX,4860801321088937.0,1283211758657.8633,3787.9962432490065
8,2026-01-09,USDUGX,3977913326221725.5,1045230772826.341,3805.7751739028
9,2026-01-10,USDUGX,3857593333036501.0,1015057328061.1016,3800.3699164509576
10,2026-01-11,USDUGX,3645798046055360.5,959133028811.3618,3801.139087633693
11,2026-01-12,USDUGX,4709978283199231.0,1239495876547.2883,3799.914442893703
12,2026-01-13,USDUGX,4896520377454098.0,1287197188413.471,3804.0173032768057
13,2026-01-14,USDUGX,2072876876045429.0,542953232351.1289,3817.781629311483
14,2026-01-15,USDUGX,1304776055508200.5,344228575200.0,3790.435046684063
15,2026-01-16,USDUGX,686428385064755.8,181694809394.73907,3777.9196189004124
16,2026-01-17,USDUGX,1715730479018468.8,452874315464.6948,3788.535627722574
17,2026-01-01,USDNGN,33068430621802.73,22538146372.13932,1467.2205103202493
18,2026-01-02,USDNGN,200912424067727.03,128179093907.92128,1567.435202904886
19,2026-01-03,USDNGN,68396071599184.72,47450289152.12956,1441.4258125993972
20,2026-01-04,USDNGN,67558264918026.67,45927013588.18875,1470.9918986633375
21,2026-01-05,USDNGN,124870828098608.33,84261099133.96822,1481.9510946572627
22,2026-01-06,USDNGN,116568335161001.44,79347293613.33957,1469.0902468462316
23,2026-01-07,USDNGN,296808683475022.0,187818287506.5929,1580.297038245561
24,2026-01-08,USDNGN,296819102983785.25,200930910287.84482,1477.2197197463308
25,2026-01-09,USDNGN,108801246176432.55,73792772368.60468,1474.4160259077394
26,2026-01-10,USDNGN,41365509159649.69,28110939967.113384,1471.509284571866
27,2026-01-11,USDNGN,41964162718871.07,29371435611.49691,1428.7406061433703
28,2026-01-12,USDNGN,250054728433418.6,169707720039.52774,1473.4434495683327
29,2026-01-13,USDNGN,182273532838469.9,123364058305.97977,1477.5254262986145
30,2026-01-14,USDNGN,289103544341109.06,194543762979.29953,1486.0591771933146
31,2026-01-15,USDNGN,113279357952930.66,77429093986.66963,1463.0076644372602
32,2026-01-16,USDNGN,121283535845559.95,81732106930.24382,1483.9154452371113
33,2026-01-17,USDNGN,78059009755205.84,53330006541.31825,1463.6977344964023
34,2026-01-01,USDRWF,120916549520146.83,84071455575.37703,1438.259260442269
35,2026-01-02,USDRWF,119524277398643.2,80565792150.63312,1483.5611269752026
36,2026-01-03,USDRWF,164757124441143.22,111331372083.37956,1479.8804807485121
37,2026-01-04,USDRWF,100274092246843.97,67050885551.301155,1495.4924371598863
38,2026-01-05,USDRWF,206144499021958.06,137035950047.81424,1504.3096278752448
39,2026-01-06,USDRWF,191846508031984.8,128229841175.7889,1496.1143698913618
40,2026-01-07,USDRWF,164485067491651.3,109192658005.30608,1506.3747920089863
41,2026-01-08,USDRWF,235882360460729.78,158734436218.42532,1486.0188254056332
42,2026-01-09,USDRWF,163961522058151.0,110638319323.27112,1481.9596235828226
43,2026-01-10,USDRWF,227405871200767.5,151147874650.50726,1504.5257614543925
44,2026-01-11,USDRWF,170508356533685.22,114375188302.21762,1490.7809907437697
45,2026-01-12,USDRWF,176993925001752.56,117207762266.82204,1510.0870588999733
46,2026-01-13,USDRWF,147795605190079.75,97252431928.96474,1519.711150236663
47,2026-01-14,USDRWF,93581683590866.6,62531899515.296875,1496.5431134548242
48,2026-01-15,USDRWF,161373170686204.1,106173271586.40802,1519.9039106077862
49,2026-01-16,USDRWF,160990266236097.75,107743063792.28888,1494.2053861254662
50,2026-01-17,USDRWF,189223200807552.25,126336385042.75,1497.772797152004
51,2026-01-01,RWFUGX,1520593153001.9785,584981044822.78,2.599388760472815
52,2026-01-02,RWFUGX,2149506450687.4097,823543407315.74,2.610070618734619
53,2026-01-03,RWFUGX,2841511542132.8076,1089719618277.54,2.607562068694541
54,2026-01-04,RWFUGX,1784086637650.8574,684941127451.34,2.60472990472835
55,2026-01-05,RWFUGX,3044653511977.7915,1167472288510.08,2.6079021677365524
56,2026-01-06,RWFUGX,2562357418474.525,981799357150.0,2.6098585213099157
57,2026-01-07,RWFUGX,2227180918200.317,854415489430.0,2.606671983072451
58,2026-01-08,RWFUGX,2363888165512.29,912742359879.0,2.5898745028396237
59,2026-01-09,RWFUGX,1787860760854.5989,690196462131.72,2.590365003223381
60,2026-01-10,RWFUGX,1993612163358.4634,772835465333.28,2.5796075009300092
61,2026-01-11,RWFUGX,2017790608052.8794,779679968957.28,2.587972871422374
62,2026-01-12,RWFUGX,1961155599994.7668,760497697225.44,2.578779143118703
63,2026-01-13,RWFUGX,1797101715058.8057,691264580938.9,2.599730645273216
64,2026-01-14,RWFUGX,948560937371.9459,363682658625.0,2.608210523312372
65,2026-01-15,RWFUGX,458844699821.5349,177317736680.0,2.587697702512401
66,2026-01-16,RWFUGX,412270725170.97577,160934746905.0,2.561725998266488
67,2026-01-17,RWFUGX,872778484861.1559,337238224515.0,2.588017672422349
